,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,vaccinations,trends_covid,trends_vaccine
0,0.0,557.0,17.0,30.0,510.0,0.0,0.0,0.0,0.0,0.03052064631956912,0.05385996409335727,474849.12999999954,0.0,0.0,4.0
1,0.5,606.0,17.5,31.0,557.5,49.0,0.5,1.0,47.5,0.029000781175051733,0.05135746296270917,484193.5849999996,0.0,0.0,3.5
2,1.0,717.6666666666666,20.333333333333332,33.666666666666664,663.6666666666666,128.0,3.0,3.0,122.0,0.02854391433632567,0.04805339897124288,517933.08666666667,0.0,0.0,3.3333333333333335
3,1.5,896.5,25.75,35.75,835.0,219.0,6.25,3.0,209.75,0.02873522116745709,0.043367334643645,536376.3250000002,0.0,0.0,3.25
4,2.0,1140.8,31.8,39.8,1069.2,312.2,7.8,5.2,299.2,0.02827618448826218,0.039981875269212507,517637.766,0.0,0.0,3.2
5,2.5,1438.5,40.166666666666664,44.0,1354.3333333333333,395.0,10.833333333333334,5.833333333333333,378.3333333333333,0.028232659149625156,0.037019402378141726,508345.68833333347,0.0,0.0,3.3333333333333335
6,3.0,2029.857142857143,53.142857142857146,53.142857142857146,1923.5714285714287,717.2857142857143,16.285714285714285,11.142857142857142,689.8571428571429,0.027554439287498202,0.03449688466915042,502838.92000000033,0.0,0.0,3.4285714285714284
7,4.0,2831.285714285714,69.71428571428571,67.0,2694.5714285714284,801.4285714285714,16.571428571428573,13.857142857142858,771.0,0.02627526150129091,0.02974453000344739,502526.1885714289,0.0,0.0,3.4285714285714284
8,5.0,3914.1428571428573,91.57142857142857,83.14285714285714,3739.4285714285716,1082.857142857143,21.857142857142858,16.142857142857142,1044.857142857143,0.025315848828700912,0.02528064569974329,503002.6442857146,0.0,0.0,3.5714285714285716
9,6.0,5197.857142857143,118.28571428571429,109.71428571428571,4969.857142857143,1283.7142857142858,26.714285714285715,26.571428571428573,1230.4285714285713,0.024433913509432574,0.022597815250305877,503737.72571428615,0.0,0.0,3.7142857142857144
10,7.0,6712.857142857143,149.28571428571428,144.71428571428572,6418.857142857143,1515.0,31.0,35.0,1449.0,0.02332049353799298,0.021816676388685192,504663.8285714289,0.0,0.0,3.7142857142857144
11,8.0,8808.42857142857,193.0,204.71428571428572,8410.714285714286,2095.5714285714284,43.714285714285715,60.0,1991.857142857143,0.02262396038674604,0.022090281694918095,504433.3942857149,0.0,0.0,3.7142857142857144
12,9.0,11231.285714285714,242.14285714285714,285.0,10704.142857142857,2422.8571428571427,49.142857142857146,80.28571428571429,2293.4285714285716,0.02168195986622493,0.023421866842642157,505757.0771428576,0.0,0.0,3.7142857142857144
13,10.0,13848.42857142857,293.7142857142857,392.0,13162.714285714286,2617.1428571428573,51.57142857142857,107.0,2458.5714285714284,0.021268013687214298,0.025778861566847937,506511.29571428604,0.0,0.0,3.7142857142857144
14,11.0,16916.428571428572,355.2857142857143,535.1428571428571,16026.0,3068.0,61.57142857142857,143.14285714285714,2863.285714285714,0.021101812761105645,0.028671530817836445,506360.20000000065,0.0,0.0,3.7142857142857144
15,12.0,20140.428571428572,421.42857142857144,727.5714285714286,18991.428571428572,3224.0,66.14285714285714,192.42857142857142,2965.4285714285716,0.021075724687068226,0.033075683512314276,505912.1800000008,0.0,0.0,3.7142857142857144
