,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
29,29,76212,2248,18179,55785,560.0,125.0,2058.0,-1623.0,0.029496667191518396,0.2385319897129061,539308.0299999998,0.0,34724.0,0.0,11.0,36.229268292682924,1.0,4.0
30,30,76841,2252,18892,55697,629.0,4.0,713.0,-88.0,0.029307270858005493,0.2458583308390052,648738.6400000002,0.0,46783.0,0.0,1.0,36.107142857142854,1.0,3.0
31,31,78602,2459,22889,53254,1761.0,207.0,3997.0,-2443.0,0.031284191241953134,0.2912012416986845,668791.3099999982,0.0,55548.0,0.0,0.0,36.107142857142854,2.0,3.0
32,32,78982,2470,23394,53118,380.0,11.0,505.0,-136.0,0.031272948266693676,0.29619406953483074,512269.07999999955,0.0,46411.0,0.0,1.0,36.989999999999995,2.0,3.0
33,33,79546,2630,25227,51689,564.0,160.0,1833.0,-1429.0,0.03306263042767707,0.31713725391597314,501981.9999999985,0.0,58860.0,26.0,127.0,35.333999999999996,3.0,4.0
34,34,80399,2710,27905,49784,853.0,80.0,2678.0,-1905.0,0.03370688690157838,0.3470814313610866,505908.23000000004,0.0,74335.0,35.0,151.0,35.376363636363635,3.0,6.0
35,35,81376,2771,30386,48219,977.0,61.0,2481.0,-1565.0,0.03405180888714117,0.37340247738891075,508126.5700000007,0.0,86830.0,36.0,169.0,35.954838709677425,4.0,6.0
36,36,82736,2814,33278,46644,1360.0,43.0,2892.0,-1575.0,0.03401179655772578,0.4022191065557919,537298.1600000013,0.0,119279.0,65.0,331.0,36.089062500000004,5.0,6.0
37,37,84122,2873,36710,44539,1386.0,59.0,3432.0,-2105.0,0.03415277810798602,0.4363900049927486,642563.4399999995,0.0,146554.0,72.0,421.0,35.65735294117648,5.0,6.0
38,38,86013,2942,39781,43290,1891.0,69.0,3071.0,-1249.0,0.03420413193354493,0.4624998546731308,649860.8499999988,0.0,174228.0,123.0,605.0,35.993150684931514,5.0,5.0
39,39,88394,2996,42717,42681,2381.0,54.0,2936.0,-609.0,0.03389370319252438,0.483256782134534,500565.8199999997,0.0,160127.0,160.0,918.0,35.846153846153854,5.0,5.0
